,Investor,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BMU,BRA,CAN,CHE,CHL,CHN,COL,CRI,CYM,CYP,CZE,DEU,DNK,ECU,EGY,ESP,EST,FIN,FRA,GBR,GHA,GIB,GRC,GTM,HKG,HRV,HUN,IDN,IND,IRL,ISL,ISR,ITA,JOR,JPN,KEN,KOR,LBN,LTU,LUX,LVA,MAF,MAR,MEX,MKD,MYS,NGA,NLD,NOR,NZL,PAK,PER,PHL,POL,PRT,ROM,RUS,SAU,SGP,SLV,SRB,SVK,SVN,SWE,THA,TUR,TWN,UKR,USA
11,CAN,0,0,0,0,0,0,0,0,0,0,70000000,34441125765,0,0,46610000,0,0,0,0,0,226033947,0,0,0,5546000,0,0,790005671,940067848,0,0,0,0,0,0,0,0,97430000,144540000,0,132385810,0,0,8000000,0,0,0,0,0,0,0,0,0,0,0,4700,0,0,0,0,0,0,0,0,0,5450000,0,3000000,0,0,0,0,0,0,1140470000,0,0,30477669072.0
12,CHE,0,0,18787500,0,69732000,0,435136000,0,2000000,0,0,569000000,6443100213,0,0,0,0,0,0,0,1075261660,80260000,0,0,1608884550,6150000,270504800,371660132,2641688148,0,0,0,0,0,0,0,0,92500000,176865400,0,317850000,1286600,0,0,0,6000000,0,0,41500000,0,0,0,0,0,0,0,322909480,6700000,0,0,0,0,0,0,0,510800000,0,78000000,0,0,0,0,115644240,0,1000000,0,0,27072387260.0
14,CHN,0,0,0,0,0,0,0,0,0,0,30000000,78400000,0,0,40070606150,0,0,0,0,0,336018248,12000000,0,0,0,0,0,0,359703198,0,0,0,0,12000000,0,0,0,366080000,0,0,11000000,20000000,0,0,0,64663673,0,0,0,0,0,0,0,0,20000000,0,0,0,0,0,0,0,0,0,0,0,0,22000000,0,0,0,0,0,12701285,0,75000000,0,9103529705.0
19,DEU,0,0,0,24900000,385672927,0,77782120,0,0,0,199500000,490750000,2171623240,0,200000000,0,0,0,0,16500000,19791879211,69339600,0,0,114924030,0,6602480,825110710,3740254429,0,0,0,0,0,0,0,40000000,117000000,132032250,0,823597620,1286600,0,125967600,0,3524456,0,0,0,266240,43600000,0,50000000,0,394000000,0,290000000,4260000,13500000,0,0,0,7044419,0,0,410550000,0,53000000,0,0,0,0,499872828,0,679450,0,0,32246900982.0
25,FRA,0,150000,7730000,150000,61378400,0,746417110,0,0,0,303774152,294852300,2186426952,0,231125000,0,0,0,0,0,2672686168,26400000,0,0,642599185,200000,17946020,23183383096,2183856574,0,0,0,0,24941059,0,0,0,45800000,50393130,0,108818558,1413176,0,112700000,0,0,0,0,7530000,0,102040000,0,0,0,0,0,684557600,139764,1370000,150000,0,0,0,0,0,262950000,0,7000000,0,0,0,0,1679232,0,34190000,0,0,11355271527.0
26,GBR,20000000,66561965,0,32858319,153009663,0,126258125,0,0,0,127450000,1708029321,1534178474,0,3221300000,0,0,0,0,0,5365689818,116595029,0,102000000,1278779561,2146700,481780365,3382050721,51994139741,1219615,0,0,0,0,0,0,0,1394650000,1860967439,19311,1152143112,17154814,0,342171207,0,0,0,420236,0,323406,0,0,0,0,250042378,0,727803753,29760000,1670000,0,0,0,2439299,91190015,0,1342600000,0,85000000,0,0,0,0,1621569436,0,139200000,0,0,74323090407.0
35,ISR,0,0,0,2300000,0,0,0,0,0,0,0,278200000,49200000,0,404600000,0,0,0,70400000,0,29634000,0,0,0,0,0,0,128496100,1720398000,0,0,0,0,0,0,0,0,0,0,0,21875244643,0,0,25200000,0,0,0,0,0,0,0,0,0,0,0,0,19000000,0,0,0,0,0,1000000,0,0,5000000,0,7200000,0,0,0,0,0,0,0,0,0,28305784936.0
38,JPN,0,0,0,0,0,0,4700000,0,0,0,0,18829440,31000000,0,655520000,0,0,0,0,0,93831250,0,0,0,3000000,0,8200000,169470000,469238187,0,0,0,0,0,0,0,9000000,75000000,212660000,0,123000000,0,0,1117875324,0,43484327,0,28100000,0,0,0,0,0,0,0,0,1771320,105790000,0,0,0,0,0,0,0,180000000,0,369675000,0,0,0,0,0,6200000,1801240,26300000,0,32128069605.0
61,RUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,0,0,0,1500000,0,375183900,0,0,0,5696550,18000000,0,0,133358976,0,0,0,0,0,0,0,0,82000000,3500000,0,63690000,0,0,0,0,4333879,0,25000000,10040000,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,0,192300000,3301845573,0,1030000,0,0,0,0,255000000,0,0,0,0,13119485862.0
72,USA,1307360000,925837915,0,1875618631,509112754,10000,849981880,90100000,2000000,556666000,1886500000,30673447461,5508106714,11000000,59202796196,0,0,113000000,60000000,277231200,17082611567,1658512000,0,625000,3131478793,42350000,771728512,7055757968,42273195094,3600000,8500000,516262,489600,213855712,0,14000000,332560000,21491389193,3257709931,0,17377924641,70931822,20000000,12459180593,491140000,1146869460,0,6860880,361400000,0,87200000,0,168435000,0,1361250000,0,8024680500,629230000,623622265,4000000,0,40005000,0,5900000,75000000,2662850000,0,3675004668,200000,1300000,0,0,3924805616,500000,639727760,221153646,4500000,2.49223627165e+12
